county,precinct,office,district,party,candidate,votes
Alcona,Alcona Township 1,Governor,,REP,Rick Snyder,399
Alcona,Alcona Township 1,Governor,,UST,Stacey Mathia,5
Alcona,Alcona Township 1,Governor,,DEM,Virg Bernero,198
Alcona,Alcona Township 1,Governor,,GRN,Harley Mikkelson,7
Alcona,Alcona Township 1,Governor,,NPA,Thomas John Neuenfeldt,0
Alcona,Alcona Township 1,Governor,,NPA,Linda S. Blauwkamp,0
Alcona,Alcona Township 1,Governor,,LIB,Ken Proctor,1
Alcona,Alcona Township 1,Governor,,NPA,George Z. Delorean,0
Alcona,Alcona Township 1,Governor,,NPA,Mark Van Kleeck,0
Alcona,Alcona Township 1,Governor,,NPA,Angelo Scott Brown,0
Alcona,Alcona Township 1,Governor,,NPA,Dovelyn J. Waynick,0
Alcona,Alcona Township 1,Governor,,NPA,James Scott Mote,0
Alcona,Alcona Township 1,Governor,,NPA,Larry James Hutchinson Jr.,0
Alcona,Alcona Township 1,Secretary of State,,DEM,Jocelyn Michelle Benson,201
Alcona,Alcona Township 1,Secretary of State,,REP,Ruth Johnson,378
Alcona,Alcona Township 1,Secretary of State,,LIB,Scotty Boman,5
Alcona,Alcona Township 1,Secretary of State,,UST,Robert Gale,8
Alcona,Alcona Township 1,Secretary of State,,GRN,John Anthony La Pietra,9
Alcona,Alcona Township 1,Attorney General,,REP,Bill Schuette,384
Alcona,Alcona Township 1,Attorney General,,DEM,David Leyton,193
Alcona,Alcona Township 1,Attorney General,,LIB,Daniel W. Grow,7
Alcona,Alcona Township 1,Attorney General,,UST,Gerald T. Van Sickle,13
Alcona,Alcona Township 1,U.S. House,1,GRN,Ellis Boal,7
Alcona,Alcona Township 1,U.S. House,1,NPA,Glenn A. Wilson,17
Alcona,Alcona Township 1,U.S. House,1,UST,Patrick Lambert,9
Alcona,Alcona Township 1,U.S. House,1,LIB,Keith Shelton,3
Alcona,Alcona Township 1,U.S. House,1,DEM,Gary Mcdowell,193
Alcona,Alcona Township 1,U.S. House,1,REP,Dan Benishek,372
Alcona,Alcona Township 1,State Senate,36,REP,John Moolenaar,382
Alcona,Alcona Township 1,State Senate,36,DEM,Andy Neumann,220
Alcona,Alcona Township 1,State House,106,REP,Peter Pettalia,393
Alcona,Alcona Township 1,State House,106,DEM,Casey A. Viegelahn,194
Alcona,Alcona Township 1,State House,106,NPA,Patrick Pokorski,0
Alcona,Alcona Township 1,State House,106,NPA,Nicholas C. Hein,12
Alcona,Caledonia Township 1,Governor,,REP,Rick Snyder,309
Alcona,Caledonia Township 1,Governor,,UST,Stacey Mathia,5
